Program,xPONENT,,FlexMAP 3D,,,,,,,,,,,,,
"96(1,H12)",BioS-16,104693,10721.5,206,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,,,,
Location,Sample,Anti-Kappa IgG,Analyte 45,Total Events,,,,,,,,,,,,
"1(1,A1)",Standard1,160359,10786,223,,,,,,,,,,,,
"2(1,B1)",Standard2,148211.5,10820,218,,,,,,,,,,,,
"3(1,C1)",Standard3,131858,10769,230,,,,,,,,,,,,
"4(1,D1)",Standard4,112000,10907,203,,,,,,,,,,,,
"5(1,E1)",Standard5,96994,10886.5,201,,,,,,,,,,,,
"6(1,F1)",Standard6,85008,10887,223,,,,,,,,,,,,
"7(1,G1)",Standard7,71766.5,10759,234,,,,,,,,,,,,
"8(1,H1)",Standard8,58916,10812.5,214,,,,,,,,,,,,
"9(1,A2)",Standard1,164969,10845,226,,,,,,,,,,,,
"10(1,B2)",Standard2,154135.5,10672.5,232,,,,,,,,,,,,
"11(1,C2)",Standard3,137839,10928,207,,,,,,,,,,,,
"12(1,D2)",Standard4,118050.5,10757,233,,,,,,,,,,,,
"13(1,E2)",Standard5,99968,10978,207,,,,,,,,,,,,
"14(1,F2)",Standard6,83406.5,10890,217,,,,,,,,,,,,
"15(1,G2)",Standard7,77355.5,10856,204,,,,,,,,,,,,
"16(1,H2)",Standard8,61612.5,10787,209,,,,,,,,,,,,
"17(1,A3)",ADNI-451,103679,10860,209,,,,,,,,,,,,
"18(1,B3)",ADNI-452,94124.5,10895,222,,,,,,,,,,,,
"19(1,C3)",ADNI-453,98792.5,10878,220,,,,,,,,,,,,
"20(1,D3)",ADNI-454,98919,11022,210,,,,,,,,,,,,
"21(1,E3)",ADNI-455,97397.5,10665,207,,,,,,,,,,,,
"22(1,F3)",ADNI-456,97006,10804,206,,,,,,,,,,,,
"23(1,G3)",ADNI-457,96891,10915,209,,,,,,,,,,,,
"24(1,H3)",ADNI-458,95439,10887,232,,,,,,,,,,,,
"25(1,A4)",ADNI-451,104785,10797,207,,,,,,,,,,,,
"26(1,B4)",ADNI-452,93387,10910.5,200,,,,,,,,,,,,
"27(1,C4)",ADNI-453,96037.5,10842.5,218,,,,,,,,,,,,
"28(1,D4)",ADNI-454,99115,10764.5,226,,,,,,,,,,,,
"29(1,E4)",ADNI-455,96833,10807.5,222,,,,,,,,,,,,
"30(1,F4)",ADNI-456,99161,10778,220,,,,,,,,,,,,
"31(1,G4)",ADNI-457,98677,10958.5,204,,,,,,,,,,,,
"32(1,H4)",ADNI-458,96164.5,10794,237,,,,,,,,,,,,
"33(1,A5)",ADNI-459,90748,10975,216,,,,,,,,,,,,
"34(1,B5)",ADNI-460,97340,10976,201,,,,,,,,,,,,
"35(1,C5)",ADNI-461,102618.5,10815,241,,,,,,,,,,,,
"36(1,D5)",ADNI-462,109972,10921,213,,,,,,,,,,,,
"37(1,E5)",ADNI-463,88373.5,10910,203,,,,,,,,,,,,
"38(1,F5)",ADNI-464,100636,10925,206,,,,,,,,,,,,
"39(1,G5)",ADNI-465,96821.5,10785,211,,,,,,,,,,,,
"40(1,H5)",ADNI-466,100140.5,10787.5,230,,,,,,,,,,,,
"41(1,A6)",ADNI-459,93882.5,10869,231,,,,,,,,,,,,
"42(1,B6)",ADNI-460,99518,10956,214,,,,,,,,,,,,
"43(1,C6)",ADNI-461,103575,10720,224,,,,,,,,,,,,
"44(1,D6)",ADNI-462,110628.5,10916,203,,,,,,,,,,,,
